,logFC.RNAseq_sample-RNAseq_control,AveExpr.RNAseq_sample-RNAseq_control,t.RNAseq_sample-RNAseq_control,P.Value.RNAseq_sample-RNAseq_control,adj.P.Val.RNAseq_sample-RNAseq_control,B.RNAseq_sample-RNAseq_control,Symbol.RNAseq_sample-RNAseq_control
TMEM121B,0.220663571546042,0.653844755027859,0.569754106280709,0.583079397771476,0.995709083584026,-5.58596314598195,TMEM121B
TMEM123,0.214166045941645,6.56132368158135,0.921722931455381,0.381222899018347,0.92785957446515,-6.12260761285709,TMEM123
TMEM126A,-0.337769578800504,1.71131331202258,-0.323162892087131,0.754110659316707,0.998645782309963,-5.44761945642522,TMEM126A
TMEM126B,0.324154700242643,2.7938098080778,0.919204677854443,0.382467814324193,0.92933039316056,-5.51742806888056,TMEM126B
TMEM127,-0.00264591844925022,4.23392284782533,-0.00684262278745181,0.994692864201399,1,-6.11556712352179,TMEM127
TMEM128,-0.618917859940555,1.76501653633626,-0.681277851537925,0.513204340940665,0.977891326795711,-5.29776939028294,TMEM128
TMEM129,-0.502168846074567,3.97414921658885,-2.80134488184551,0.0210901285356754,0.450454515380735,-3.27564995691751,TMEM129
TMEM131,0.208507936212544,4.73044926736715,0.883395372505619,0.40048765933818,0.938113900590927,-5.67826305605412,TMEM131
TMEM131L,0.0870096543608421,3.31157767987928,0.306203653612974,0.76656246284063,0.998645782309963,-5.61463652350253,TMEM131L
TMEM132A,-0.119368097640503,4.98862464165212,-0.485545340362934,0.639136742430306,0.996391562030057,-6.05300457722828,TMEM132A
TMEM132E,-0.714342684918823,5.24437611571337,-1.91455048593505,0.0885233225313175,0.643606207539224,-4.65212654334175,TMEM132E
TMEM134,-0.255994249989335,1.41805016116783,-0.245866830832116,0.811417772758847,0.998645782309963,-5.62755800893663,TMEM134
TMEM135,0.864185497145716,1.97148488600597,0.898233462628709,0.392948944998145,0.93489408603692,-5.16792538414837,TMEM135
TMEM138,-0.371347681879917,2.13916230250488,-0.630507693908669,0.544369390506887,0.984815721043679,-5.32841323373331,TMEM138
TMEM140,0.398839031356655,1.07427319085476,0.544525598323757,0.599589991639887,0.996391562030057,-5.45128786918688,TMEM140
TMEM141,-1.34266700994559,2.3425851119242,-3.18731428310751,0.0113576191278804,0.372839763633383,-2.55265190499973,TMEM141
TMEM143,-0.50830623638422,1.67022953338,-0.583249749391562,0.574350698112657,0.992943873010948,-5.34220257345232,TMEM143
TMEM144,-0.498220301559266,1.16145563728647,-0.647343855700138,0.533912733378897,0.982169787422612,-5.37111481550485,TMEM144
TMEM145,0.311358576945915,0.405784115391698,1.10649877229269,0.297809281187835,0.876235088554621,-5.26767866624824,TMEM145
TMEM147,-0.747011299099932,6.6597431471923,-4.30148693548884,0.00208726710908686,0.197840850607738,-1.14950806978192,TMEM147
TMEM147-AS1,-0.943200331116497,2.79511497780854,-4.27168918112929,0.00217923774513181,0.199782327829681,-1.0797535185558,TMEM147-AS1
TMEM14A,0.438379535039981,3.15796966393627,0.889608199392951,0.397318752398231,0.937582477805919,-5.19355887168992,TMEM14A
TMEM14B,0.445546242041943,4.0123529794156,0.826222889158097,0.430485357416917,0.950204182542031,-5.71277357385743,TMEM14B
TMEM14C,0.357270558167736,5.10860825554591,1.29178274496068,0.229291604573826,0.824457233944145,-5.30378067400556,TMEM14C
TMEM150A,-0.636623795860291,1.12903920929869,-0.783094377255082,0.454107963422514,0.960213859167873,-5.33534582952099,TMEM150A
TMEM150C,0.0585663258030584,1.04556583979321,0.093117666372221,0.927893361674266,0.999969548839946,-5.57454267624174,TMEM150C
TMEM158,-1.10712230205779,2.24134790400812,-2.55108922569512,0.0316493693302762,0.500925780498698,-3.34638289201702,TMEM158
